benchmark,prior,metric,n_questions,n_seed_blocks,posterior_mean,lcb_mean,posterior_p90,lcb_p90,posterior_ci95_low,posterior_ci95_high,lcb_ci95_low,lcb_ci95_high,paired_mean_delta,paired_ci95_low,paired_ci95_high,reduction_percent
mmlu_philosophy,default,maximum_drawdown_pp,311,20,11.929260450160772,6.752411575562701,14.50160771704181,10.932475884244365,10.691318327974278,13.10329581993569,5.401929260450165,8.15112540192926,-5.17684887459807,-6.623794212218648,-3.7620578778135068,43.39622641509434
mmlu_philosophy,default,switches,311,20,251.35,78.7,299.6,101.1,233.95000000000002,268.25124999999997,70.35000000000001,86.80000000000001,-172.65,-186.5,-158.8,68.68907897354286
mmlu_philosophy,default,largest_drop_pp,311,20,11.672025723472672,6.414790996784566,14.50160771704181,10.932475884244365,10.498392282958202,12.829581993569134,5.128617363344053,7.733118971061096,-5.257234726688103,-6.784565916398714,-3.77813504823151,45.0413223140496
mmlu_philosophy,default,mean_drawdown_pp,311,20,0.4754913617518435,0.36020788315533014,0.8097264870664665,0.7254581428752506,0.35324971558131946,0.623311935398763,0.23782661239831857,0.5067936527629876,-0.11528347859651325,-0.14702478530266744,-0.08559920535086238,24.24512575197511
mmlu_philosophy,default,mean_regret_pp,311,20,0.9913596457470092,0.9110074911917347,1.6700934761955688,1.5359160196165655,0.7955814011817898,1.2017578529615753,0.7197731198594525,1.1202885102511368,-0.08035215455527486,-0.11959764377646726,-0.05141864706695507,8.10524766667575
mmlu_philosophy,default,final_regret_pp,311,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mmlu_philosophy,default,downward_jumps,311,20,115.7,33.35,139.2,43.2,107.65,123.65,29.7,36.95,-82.35,-89.0,-75.7,71.17545375972342
mmlu_philosophy,default,jumps_ge_2pp,311,20,35.1,7.45,46.400000000000006,16.0,30.700000000000003,39.45,5.6,9.5,-27.65,-31.400000000000006,-24.049999999999997,78.77492877492877
mmlu_philosophy,default,any_jump_ge_2pp,311,20,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,0.0,0.0
mmlu_philosophy,dataset,total_downward_pp,311,20,212.29903536977503,41.12540192926047,260.4501607717044,63.054662379421224,193.11856913183288,231.4630225080387,32.7009646302251,50.75602893890678,-171.17363344051458,-186.94614147909988,-155.86776527331196,80.62854979174554
mmlu_philosophy,dataset,maximum_drawdown_pp,311,20,11.334405144694536,5.144694533762058,18.649517684887464,8.81028938906753,9.64630225080386,13.183279742765277,4.003215434083603,6.39871382636656,-6.189710610932478,-7.990353697749199,-4.565916398713828,54.60992907801419
mmlu_philosophy,dataset,switches,311,20,220.5,66.85,274.3,81.5,204.0,236.15,58.05,77.00124999999998,-153.65,-165.3,-141.39875,69.68253968253968
mmlu_philosophy,dataset,largest_drop_pp,311,20,11.012861736334406,4.967845659163987,16.913183279742768,8.231511254019303,9.356913183279744,12.765273311897108,3.890675241157557,6.17363344051447,-6.045016077170418,-7.845659163987141,-4.437299035369775,54.89051094890512
mmlu_philosophy,dataset,mean_drawdown_pp,311,20,0.32345804101679293,0.22327680188951288,0.6286972035258367,0.5846782670430074,0.22366169091931903,0.4400368643371717,0.11121284511732314,0.3627450586203081,-0.10018123912728005,-0.1608596624043116,-0.036147087058729946,30.97194270155088
mmlu_philosophy,dataset,mean_regret_pp,311,20,0.7749973482337738,0.7271702073968414,1.177857503081605,1.4025128404839144,0.6054767109827571,0.9679631888896204,0.5419693413701979,0.935619146249985,-0.047827140836932056,-0.11429507820700029,0.03314493347991737,6.171265094768506
