benchmark,prior,matrix_seed,run_seed,method,total_downward_pp,maximum_drawdown_pp,switches,largest_drop_pp,mean_drawdown_pp,mean_regret_pp,final_regret_pp,downward_jumps,jumps_ge_2pp,any_jump_ge_2pp
gsm8k,dataset,3,8,posterior_mean,10.900000000000002,10.900000000000002,3,10.900000000000002,0.015883424408014594,0.6944262295081963,0.0,1,1,1
gsm8k,dataset,3,8,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.6785428051001818,0.0,0,0,0
gsm8k,dataset,3,9,posterior_mean,0.0,0.0,1,0.0,0.0,0.3370491803278674,0.0,0,0,0
gsm8k,dataset,3,9,gaussian_lcb_1.645,2.399999999999991,1.1999999999999955,5,1.1999999999999955,0.010491803278688589,0.3702732240437144,0.0,2,0,0
gsm8k,dataset,3,10,posterior_mean,6.1,2.100000000000002,9,2.100000000000002,0.01180327868852453,1.6828415300546427,0.0,3,3,1
gsm8k,dataset,3,10,gaussian_lcb_1.645,14.600000000000007,2.100000000000002,17,2.100000000000002,0.057704918032786746,1.7645901639344244,0.0,7,7,1
gsm8k,dataset,3,11,posterior_mean,3.1999999999999917,1.9999999999999962,5,1.9999999999999962,0.04255009107468105,0.23533697632058187,0.0,2,1,1
gsm8k,dataset,3,11,gaussian_lcb_1.645,2.399999999999991,1.1999999999999955,5,1.1999999999999955,0.010491803278688499,0.2172677595628406,0.0,2,0,0
gsm8k,dataset,3,12,posterior_mean,1.9999999999999962,1.9999999999999962,4,1.9999999999999962,0.0029143897996356995,0.8093989071038249,0.0,1,1,1
gsm8k,dataset,3,12,gaussian_lcb_1.645,0.0,0.0,2,0.0,0.0,0.8064845173041892,0.0,0,0,0
gsm8k,dataset,3,13,posterior_mean,5.9999999999999885,1.9999999999999962,7,1.9999999999999962,0.026229508196721527,0.1997814207650268,0.0,3,3,1
gsm8k,dataset,3,13,gaussian_lcb_1.645,2.399999999999991,1.1999999999999955,5,1.1999999999999955,0.020983606557376997,0.20677595628415213,0.0,2,0,0
gsm8k,dataset,3,14,posterior_mean,2.399999999999991,1.1999999999999955,5,1.1999999999999955,0.005245901639344249,0.1945355191256822,0.0,2,0,0
gsm8k,dataset,3,14,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.21901639344262197,0.0,0,0,0
gsm8k,dataset,3,15,posterior_mean,5.999999999999978,1.1999999999999955,11,1.1999999999999955,0.029726775956284028,0.7277959927140253,0.0,5,0,0
gsm8k,dataset,3,15,gaussian_lcb_1.645,1.1999999999999955,1.1999999999999955,3,1.1999999999999955,0.00174863387978137,0.7193442622950817,0.0,1,0,0
gsm8k,dataset,3,16,posterior_mean,5.700000000000002,5.700000000000002,3,5.700000000000002,0.008306010928961763,0.9016393442622945,0.0,1,1,1
gsm8k,dataset,3,16,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.9714389799635696,0.0,0,0,0
gsm8k,dataset,3,17,posterior_mean,3.5999999999999863,1.1999999999999955,7,1.1999999999999955,0.006994535519125619,0.22950819672131037,0.0,3,0,0
gsm8k,dataset,3,17,gaussian_lcb_1.645,3.5999999999999863,1.1999999999999955,7,1.1999999999999955,0.02098360655737695,0.25923497267759443,0.0,3,0,0
gsm8k,dataset,3,18,posterior_mean,3.9999999999999925,1.9999999999999962,5,1.9999999999999962,0.011657559198542798,0.08116575591985399,0.0,2,2,1
gsm8k,dataset,3,18,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.0712568306010926,0.0,0,0,0
gsm8k,dataset,3,19,posterior_mean,9.399999999999991,4.099999999999998,7,4.099999999999998,0.025646630236794185,0.20269581056466224,0.0,3,2,1
gsm8k,dataset,3,19,gaussian_lcb_1.645,3.5999999999999863,1.1999999999999955,7,1.1999999999999955,0.008743169398907036,0.21202185792349632,0.0,3,0,0
gsm8k,dataset,4,0,posterior_mean,23.299999999999994,14.999999999999996,10,14.999999999999996,0.14061930783242257,0.7406193078324211,0.0,4,3,1
gsm8k,dataset,4,0,gaussian_lcb_1.645,24.099999999999994,14.999999999999996,14,14.999999999999996,0.15519125683060114,0.7551912568305997,0.0,6,3,1
gsm8k,dataset,4,1,posterior_mean,12.799999999999995,12.799999999999995,3,12.799999999999995,0.018652094717668998,0.4743169398907119,0.40000000000000036,1,1,1
gsm8k,dataset,4,1,gaussian_lcb_1.645,0.0,0.0,1,0.0,0.0,0.4556648451730429,0.40000000000000036,0,0,0
